eisced,eduyrs,hincfel,hinctnta,uemp12m,gincdif,pdwrk,trstplt,trstprt,trstun,stfdem,imueclt,imwbcnt,imbgeco,feethngr,brncntr,ppltrst,nwspol,netusoft,rlgdgr,aesfdrk,health,happy,gndr,agea,domicil,lrscale,is_populist_voter,cntry_BE,cntry_BG,cntry_CH,cntry_CY,cntry_ES,cntry_FI,cntry_FR,cntry_GB,cntry_GR,cntry_HR,cntry_HU,cntry_IE,cntry_IL,cntry_IS,cntry_IT,cntry_LV,cntry_NL,cntry_NO,cntry_PL,cntry_PT,cntry_RS,cntry_SE,cntry_SI,cntry_SK
3,11,2,4.258,2,2,0,5,5,7,4,2,2,1,1,1,5,60,3,6,2,2,7,2,70,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,3,1,1,2,0,0,0,0,1,4,4,4,2,1,5,0,5,0,3,3,5,1,28,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,11,1,10,6,2,1,7,6,5,6,5,4,4,1,1,8,10,5,5,1,1,10,1,18,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,2,4,6,2,1,3,5,3,5,4,4,5,1,1,10,30,2,9,1,2,7,1,59,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,8,6,2,1,0,0,5,0,4,3,8,1,1,6,90,5,5,2,2,9,2,49,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,2,3,6,1,1,4,4,4,6,6,88,6,1,1,6,120,5,0,2,1,9,1,70,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,2,6,2,0,6,6,2,6,4,5,5,1,1,8,15,5,5,2,3,8,2,71,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14,1,5.136,6,1,0,1,1,0,3,2,2,2,1,1,4,90,5,0,2,3,9,1,83,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,15,1,4,6,3,0,5,5,8,8,7,7,7,1,1,9,15,3,10,1,2,8,2,74,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,18,2,3,1,1,0,4.926666666666666,5.5310000000000015,7,8,10,8,8,1,1,9,30,5,0,2,2,5,2,86,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,1,7,6,5,1,1,1,0,7,2,1,5,1,1,6,15,5,6,2,1,10,1,63,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,2,3,6,2,0,3,3,3,5,5,5,5,1,1,5,0,5,4,1,1,10,2,61,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,9,2,5,6,3,0,4,4,6,7,5.398,5,6,1,1,6,45,1,7,1,1,8,1,70,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.691666666666666,19,1,6,6,1,0,5,6,5,4,5,5,5,1,1,5,90,5,3,2,2,9,2,67,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,1,9,6,2,0,2,2,5,8,5,2,8,1,1,7,120,5,2,2,4,8,1,68,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12,2,7,6,2,1,0,1,1,4,6,6,10,1,1,7,120,5,3,2,1,9,1,62,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,1,2,6,1,0,10,8,8,8,5,5,5,1,1,7,5,4,4,1,1,9,2,64,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,18,1,8,6,1,1,9,7,8,4,2,4,3,1,1,6,60,5,6,2,2,9,1,39,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,1,3,6,1,1,7,7,9,9,6,6,5,2,1,4,20,5,0,2,1,9,2,43,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13,2,6,6,2,1,1,2,5,2,7,4,8,2,1,8,10,5,3,1,2,8,1,47,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,1,3,6,4,0,8,8,3,6,6,4,5,1,1,3,60,5,6,2,1,10,2,77,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,15,2,8,5.1066666666666665,2,0,2,4,1,7,3,3,6,1,1,9,60,3,3,2,4,9,2,48,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,17,2,7,6,1,1,0,0,2,5,8,5,7,1,1,7,30,5,0,2,4,4,2,35,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,17,2,9,2,3,1,1,3,2,4,6,5,6,1,1,7,8,5,2,1,2,8,1,53,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
